[293675]: 2741028ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:721 CSpxAudioStreamSession::AddRecognizer
[293675]: 2741028ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x000001EB01695428; name='UnsupportedV2ServiceProperties'; value=''
[293675]: 2741028ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x000001EB01695428; name='IsCustomV1Endpoint'; value='1'
[293675]: 2741028ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x000001EB01694EE0
[293675]: 2741028ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxRecognizer, h=0x000001EB01694EE0, p=0x000001EB01694EE0, tot=1
[293675]: 2741028ms SPX_DBG_TRACE_SCOPE_EXIT:  speechapi_c_factory.cpp:160 recognizer_create_speech_recognizer_from_config
[293675]: 2741028ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x000001EB01695428
[293675]: 2741028ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x000001EB01695428, p=0x000001EB01695428, tot=3
[293675]: 2741029ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:180 CSpxHandleTable::StopTracking(h) h=0x000001EAA71E6128
[293675]: 2741029ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:195 CSpxHandleTable::StopTracking(h) class=ISpxSpeechConfig, h=0x000001EAA71E6128, p=0x000001EAA71E6128, tot=0
[293675]: 2741029ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:180 CSpxHandleTable::StopTracking(h) h=0x000001EAA71E60B8
[293675]: 2741029ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:195 CSpxHandleTable::StopTracking(h) class=ISpxNamedProperties, h=0x000001EAA71E60B8, p=0x000001EAA71E60B8, tot=2
[252533]: 2741029ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:180 CSpxHandleTable::StopTracking(h) h=0xFFFFFFFFFFFFFFFF
[252533]: 2741029ms SPX_RETURN_ON_FAIL:  handle_helpers.h:52 hr = 0x21
[252533]: 2741029ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x000001EB01695428; name='SPEECH-RecoMode'; value=''
[252533]: 2741029ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxPropertyBagImpl::SetStringValue: this=0x000001EB160235C8; name='SPEECH-RecoMode'; value='CONVERSATION'
[252533]: 2741029ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:1116 CSpxAudioStreamSession::StartRecognitionAsync
[252533]: 2741029ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x000001EB015B6E00
[252533]: 2741029ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=CSpxAsyncOp<void>, h=0x000001EB015B6E00, p=0x000001EB015B6E00, tot=1
[109593]: 2741029ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1119 *** CSpxAudioStreamSession::StartRecognitionAsync kicked-off THREAD started ***
[109593]: 2741029ms SPX_TRACE_INFO:  thread_service.cpp:96 Started thread Background with ID [363496ll]
[363496]: 2741031ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1176 CSpxAudioStreamSession::StartRecognizing
[363496]: 2741031ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1177 [000001EB160234E0]CSpxAudioStreamSession::StartRecognizing
[363496]: 2741031ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3584 [000001EB160234E0]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 0/0 => 4/1
[363496]: 2741031ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1219 [000001EB160234E0]CSpxAudioStreamSession::StartRecognizing:  Now WaitForPumpSetFormatStart ...
[363496]: 2741031ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:3163 CSpxAudioStreamSession::StartAudioPump
[363496]: 2741031ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3164 [000001EB160234E0]CSpxAudioStreamSession::StartAudioPump:  RecognitionKind 4 | m_audioPump [000001EA5B77B6D0]
[363496]: 2741031ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1446 [000001EB160234E0]CSpxAudioStreamSession::FireSessionStartedEvent: ...
[363496]: 2741031ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1457 [000001EB160234E0]CSpxAudioStreamSession::FireSessionStartedEvent: Firing SessionStarted event: SessionId: f213e05c17ec47d1851acecee55bba19
[363496]: 2741031ms SPX_TRACE_INFO:  thread_service.cpp:96 Started thread User with ID [118371ll]
[363496]: 2741031ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x000001EB160235C8; name='SPEECH-MaxBufferSizeMs'; value='66000'
