[266640]: 1809234ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:721 CSpxAudioStreamSession::AddRecognizer
[266640]: 1809234ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x000001EA9B644118; name='UnsupportedV2ServiceProperties'; value=''
[266640]: 1809234ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x000001EA9B644118; name='IsCustomV1Endpoint'; value='1'
[266640]: 1809234ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x000001EA9B643BD0
[266640]: 1809234ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxRecognizer, h=0x000001EA9B643BD0, p=0x000001EA9B643BD0, tot=2
[266640]: 1809235ms SPX_DBG_TRACE_SCOPE_EXIT:  speechapi_c_factory.cpp:160 recognizer_create_speech_recognizer_from_config
[266640]: 1809235ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x000001EA9B644118
[266640]: 1809235ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x000001EA9B644118, p=0x000001EA9B644118, tot=6
[266640]: 1809235ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:180 CSpxHandleTable::StopTracking(h) h=0x000001EA9C498918
[266640]: 1809235ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:195 CSpxHandleTable::StopTracking(h) class=ISpxSpeechConfig, h=0x000001EA9C498918, p=0x000001EA9C498918, tot=0
[266640]: 1809235ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:180 CSpxHandleTable::StopTracking(h) h=0x000001EA9C4988A8
[266640]: 1809235ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:195 CSpxHandleTable::StopTracking(h) class=ISpxNamedProperties, h=0x000001EA9C4988A8, p=0x000001EA9C4988A8, tot=5
[6979]: 1809235ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:180 CSpxHandleTable::StopTracking(h) h=0xFFFFFFFFFFFFFFFF
[6979]: 1809235ms SPX_RETURN_ON_FAIL:  handle_helpers.h:52 hr = 0x21
[6979]: 1809235ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x000001EA9B644118; name='SPEECH-RecoMode'; value=''
[6979]: 1809235ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxPropertyBagImpl::SetStringValue: this=0x000001EB2D582518; name='SPEECH-RecoMode'; value='CONVERSATION'
[6979]: 1809235ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:1116 CSpxAudioStreamSession::StartRecognitionAsync
[6979]: 1809235ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x000001EB2C9168D0
[6979]: 1809235ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=CSpxAsyncOp<void>, h=0x000001EB2C9168D0, p=0x000001EB2C9168D0, tot=1
[470870]: 1809235ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1119 *** CSpxAudioStreamSession::StartRecognitionAsync kicked-off THREAD started ***
[470870]: 1809235ms SPX_TRACE_INFO:  thread_service.cpp:96 Started thread Background with ID [447960ll]
[447960]: 1809237ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1176 CSpxAudioStreamSession::StartRecognizing
[447960]: 1809237ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1177 [000001EB2D582430]CSpxAudioStreamSession::StartRecognizing
[447960]: 1809237ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3584 [000001EB2D582430]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 0/0 => 4/1
[447960]: 1809237ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1219 [000001EB2D582430]CSpxAudioStreamSession::StartRecognizing:  Now WaitForPumpSetFormatStart ...
[447960]: 1809237ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:3163 CSpxAudioStreamSession::StartAudioPump
[447960]: 1809237ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3164 [000001EB2D582430]CSpxAudioStreamSession::StartAudioPump:  RecognitionKind 4 | m_audioPump [000001EA9BB70C00]
[447960]: 1809237ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1446 [000001EB2D582430]CSpxAudioStreamSession::FireSessionStartedEvent: ...
[447960]: 1809237ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1457 [000001EB2D582430]CSpxAudioStreamSession::FireSessionStartedEvent: Firing SessionStarted event: SessionId: 556f4541ac2747a3b77ac574979479a8
[447960]: 1809238ms SPX_TRACE_INFO:  thread_service.cpp:96 Started thread User with ID [659675ll]
[447960]: 1809238ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x000001EB2D582518; name='SPEECH-MaxBufferSizeMs'; value='66000'
[447960]: 1809238ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x000001EB2D582518; name='SPEECH-BufferSizePercentSwitchToLowRate'; value='50'
[447960]: 1809238ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x000001EB2D582518; name='SPEECH-BufferSizePercentSwitchToHighRate'; value='9'
[447960]: 1809238ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:104 [000001EB2C7C5930] Is VAD Gating = 0, Is RNNT reco engine = 0, Is conversation transcriber = 0, Is meeting transcriber = 0, Is async transcriber  = 0, fastLane = 5000 msec (160000 bytes), maxDuration = 66000 msec, highDuration = 33000 msec, lowDuration = 5940 msec, lowRate = 100%, highRate = 200%
[447960]: 1809238ms SPX_DBG_TRACE_FUNCTION:  audio_buffer.cpp:92 PcmAudioBuffer::NewTurn
[447960]: 1809238ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxPropertyBagImpl::SetStringValue: this=0x000001EB2D582518; name='IsKeywordAndSpeechRecognizer'; value='false'
[447960]: 1809238ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2785 CSpxAudioStreamSession::EnsureInitRecoEngineAdapter
[447960]: 1809238ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:2789 CSpxAudioStreamSession::EnsureInitRecoEngineAdapter EnsureResetEngineEngineAdapterComplete
[447960]: 1809238ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2895 CSpxAudioStreamSession::EnsureResetEngineEngineAdapterComplete
[447960]: 1809238ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2814 CSpxAudioStreamSession::InitRecoEngineAdapter
[447960]: 1809238ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxUspRecoEngineAdapterRetry_OffsetFixupWrapper' as '806006714'
[447960]: 1809238ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxPropertyBagImpl::SetStringValue: this=0x000001EB2D582518; name='INTENT-region'; value=''
[447960]: 1809238ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3250 [000001EB2D582430]CSpxAudioStreamSession::StartAudioPump: Starting pump[000001EA9BB70C00]...
[447960]: 1809238ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxBufferData' as '705421989'
[447960]: 1809238ms SPX_TRACE_VERBOSE:  buffer_data.cpp:118 [000001EA9C498F60]CSpxBufferData::EnsureInitRingBuffer - Init
[447960]: 1809238ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxBlockingReadWriteRingBuffer' as '956428994'
