[916445]: 1802043ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:721 CSpxAudioStreamSession::AddRecognizer
[916445]: 1802043ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x000001EA9BD35868; name='UnsupportedV2ServiceProperties'; value=''
[916445]: 1802043ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x000001EA9BD35868; name='IsCustomV1Endpoint'; value='1'
[916445]: 1802043ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x000001EA9BD35320
[916445]: 1802043ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxRecognizer, h=0x000001EA9BD35320, p=0x000001EA9BD35320, tot=2
[916445]: 1802043ms SPX_DBG_TRACE_SCOPE_EXIT:  speechapi_c_factory.cpp:160 recognizer_create_speech_recognizer_from_config
[916445]: 1802043ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x000001EA9BD35868
[916445]: 1802043ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x000001EA9BD35868, p=0x000001EA9BD35868, tot=5
[916445]: 1802044ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:180 CSpxHandleTable::StopTracking(h) h=0x000001EB2CF74B98
[916445]: 1802044ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:195 CSpxHandleTable::StopTracking(h) class=ISpxSpeechConfig, h=0x000001EB2CF74B98, p=0x000001EB2CF74B98, tot=0
[916445]: 1802044ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:180 CSpxHandleTable::StopTracking(h) h=0x000001EB2CF74B28
[916445]: 1802044ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:195 CSpxHandleTable::StopTracking(h) class=ISpxNamedProperties, h=0x000001EB2CF74B28, p=0x000001EB2CF74B28, tot=4
[6979]: 1802044ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:180 CSpxHandleTable::StopTracking(h) h=0xFFFFFFFFFFFFFFFF
[6979]: 1802044ms SPX_RETURN_ON_FAIL:  handle_helpers.h:52 hr = 0x21
[6979]: 1802044ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x000001EA9BD35868; name='SPEECH-RecoMode'; value=''
[6979]: 1802044ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxPropertyBagImpl::SetStringValue: this=0x000001EACA28C858; name='SPEECH-RecoMode'; value='CONVERSATION'
[6979]: 1802044ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:1116 CSpxAudioStreamSession::StartRecognitionAsync
[6979]: 1802044ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x000001EB066A0420
[6979]: 1802044ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=CSpxAsyncOp<void>, h=0x000001EB066A0420, p=0x000001EB066A0420, tot=1
[470870]: 1802044ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1119 *** CSpxAudioStreamSession::StartRecognitionAsync kicked-off THREAD started ***
[470870]: 1802044ms SPX_TRACE_INFO:  thread_service.cpp:96 Started thread Background with ID [704454ll]
[704454]: 1802046ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1176 CSpxAudioStreamSession::StartRecognizing
[704454]: 1802046ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1177 [000001EACA28C770]CSpxAudioStreamSession::StartRecognizing
