[29707]: 6904976ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:721 CSpxAudioStreamSession::AddRecognizer
[29707]: 6904976ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x00000155BD51EDF8; name='UnsupportedV2ServiceProperties'; value=''
[29707]: 6904976ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x00000155BD51EDF8; name='IsCustomV1Endpoint'; value='1'
[29707]: 6904976ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x00000155BD51E8B0
[29707]: 6904977ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxRecognizer, h=0x00000155BD51E8B0, p=0x00000155BD51E8B0, tot=1
[29707]: 6904977ms SPX_DBG_TRACE_SCOPE_EXIT:  speechapi_c_factory.cpp:160 recognizer_create_speech_recognizer_from_config
[29707]: 6904977ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x00000155BD51EDF8
[29707]: 6904977ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x00000155BD51EDF8, p=0x00000155BD51EDF8, tot=3
[29707]: 6904977ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:180 CSpxHandleTable::StopTracking(h) h=0x0000015541DA2E48
[29707]: 6904977ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:195 CSpxHandleTable::StopTracking(h) class=ISpxSpeechConfig, h=0x0000015541DA2E48, p=0x0000015541DA2E48, tot=0
[29707]: 6904977ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:180 CSpxHandleTable::StopTracking(h) h=0x0000015541DA2DD8
[29707]: 6904977ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:195 CSpxHandleTable::StopTracking(h) class=ISpxNamedProperties, h=0x0000015541DA2DD8, p=0x0000015541DA2DD8, tot=2
[505795]: 6904977ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:180 CSpxHandleTable::StopTracking(h) h=0xFFFFFFFFFFFFFFFF
[505795]: 6904977ms SPX_RETURN_ON_FAIL:  handle_helpers.h:52 hr = 0x21
[505795]: 6904977ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x00000155BD51EDF8; name='SPEECH-RecoMode'; value=''
[505795]: 6904977ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxPropertyBagImpl::SetStringValue: this=0x00000155CBDDFC08; name='SPEECH-RecoMode'; value='CONVERSATION'
[505795]: 6904977ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:1116 CSpxAudioStreamSession::StartRecognitionAsync
[505795]: 6904977ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0000015602A1B1E0
[505795]: 6904977ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=CSpxAsyncOp<void>, h=0x0000015602A1B1E0, p=0x0000015602A1B1E0, tot=1
[807679]: 6904977ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1119 *** CSpxAudioStreamSession::StartRecognitionAsync kicked-off THREAD started ***
[807679]: 6904977ms SPX_TRACE_INFO:  thread_service.cpp:96 Started thread Background with ID [806164ll]
[806164]: 6904979ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1176 CSpxAudioStreamSession::StartRecognizing
[806164]: 6904979ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1177 [00000155CBDDFB20]CSpxAudioStreamSession::StartRecognizing
[806164]: 6904979ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3584 [00000155CBDDFB20]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 0/0 => 4/1
[806164]: 6904979ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1219 [00000155CBDDFB20]CSpxAudioStreamSession::StartRecognizing:  Now WaitForPumpSetFormatStart ...
[806164]: 6904979ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:3163 CSpxAudioStreamSession::StartAudioPump
[806164]: 6904979ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3164 [00000155CBDDFB20]CSpxAudioStreamSession::StartAudioPump:  RecognitionKind 4 | m_audioPump [00000155C084F850]
[806164]: 6904979ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1446 [00000155CBDDFB20]CSpxAudioStreamSession::FireSessionStartedEvent: ...
[806164]: 6904979ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1457 [00000155CBDDFB20]CSpxAudioStreamSession::FireSessionStartedEvent: Firing SessionStarted event: SessionId: 0a733e154c0c4bd7a1af66750bdb9f97
[806164]: 6904979ms SPX_TRACE_INFO:  thread_service.cpp:96 Started thread User with ID [510754ll]
[806164]: 6904979ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x00000155CBDDFC08; name='SPEECH-MaxBufferSizeMs'; value='66000'
[806164]: 6904979ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x00000155CBDDFC08; name='SPEECH-BufferSizePercentSwitchToLowRate'; value='50'
[806164]: 6904979ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x00000155CBDDFC08; name='SPEECH-BufferSizePercentSwitchToHighRate'; value='9'
